"","cloneOD","clone_plus_ciliateOD","prey","predator","replicate","experiment_day","gPred_gAlone"
"1",0.252,0.386,"Ancestral Bacteria","Evolved Ciliates",1,8,0.426408281953408
"2",0.472,0.054,"Ancestral Bacteria","Evolved Ciliates",1,8,-2.16799493902128
"3",0.466,0.419,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.106314714203508
"4",0.235,0.195,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.186585955580412
"5",0.381,0.059,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.86526193122098
"6",0.232,0.186,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.220990697953109
"7",0.239,0.292,"Ancestral Bacteria","Evolved Ciliates",1,8,0.200290250336771
"8",0.443,0.201,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.79026486198606
"9",0.509,0.204,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.914328022706306
"10",0.237,0.203,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.154854162093344
"11",0.233,0.095,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.89716156196516
"12",0.165,0.233,"Ancestral Bacteria","Evolved Ciliates",1,8,0.34509297966512
"13",0.234,0.062,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.32818673031261
"14",0.38,0.186,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.71442457900723
"15",0.311,0.044,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.95560327826097
"16",0.175,0.05,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.25276296849537
"17",0.34,0.162,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.741349282377823
"18",0.436,0.048,"Ancestral Bacteria","Evolved Ciliates",1,8,-2.20644123244114
"19",0.459,0.049,"Ancestral Bacteria","Evolved Ciliates",1,8,-2.23722991194992
"20",0.402,0.048,"Ancestral Bacteria","Evolved Ciliates",1,8,-2.12525107771113
"21",0.505,0.174,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.06550313006083
"22",0.421,0.044,"Ancestral Bacteria","Evolved Ciliates",1,8,-2.25844319976412
"23",0.368,0.098,"Ancestral Bacteria","Evolved Ciliates",1,8,-1.32311545949836
"24",0.333,0.287,"Ancestral Bacteria","Evolved Ciliates",1,8,-0.148660274220823
"25",0.531,0.062,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.14762763619685
"26",0.117,0.052,"Ancestral Bacteria","Evolved Ciliates",5,8,-0.810930216216329
"27",0.396,0.046,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.15277281476539
"28",0.293,0.34,"Ancestral Bacteria","Evolved Ciliates",5,8,0.14877300859314
"29",0.446,0.055,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.09298576678759
"30",0.376,0.048,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.058388132482
"31",0.35,0.058,"Ancestral Bacteria","Evolved Ciliates",5,8,-1.79749014393704
"32",0.385,0.046,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.12460193779869
"33",0.463,0.046,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.30908565759714
"34",0.676,0.051,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.58436744331864
"35",0.237,0.044,"Ancestral Bacteria","Evolved Ciliates",5,8,-1.68387050721687
"36",0.76,0.096,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.06897024181254
"37",0.094,0.043,"Ancestral Bacteria","Evolved Ciliates",5,8,-0.782094666576442
"38",0.215,0.055,"Ancestral Bacteria","Evolved Ciliates",5,8,-1.36330484289519
"39",0.342,0.045,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.02814824729229
"40",0.385,0.045,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.14658084451746
"41",0.401,0.049,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.10214112919594
"42",0.349,0.046,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.02643052571333
"43",0.402,0.052,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.04520837003759
"44",0.395,0.049,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.0870654667905
"45",0.338,0.042,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.08537627719965
"46",0.42,0.043,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.27905459558385
"47",0.406,0.042,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.26868354131836
"48",0.448,0.052,"Ancestral Bacteria","Evolved Ciliates",5,8,-2.15354951383356
"49",0.429,0.045,"Evolved Bacteria","Evolved Ciliates",1,8,-2.2547944291577
"50",0.464,0.049,"Evolved Bacteria","Evolved Ciliates",1,8,-2.24806425411563
"51",0.222,0.054,"Evolved Bacteria","Evolved Ciliates",1,8,-1.41369333530801
"52",0.101,0.042,"Evolved Bacteria","Evolved Ciliates",1,8,-0.877450898557891
"53",0.1,0.054,"Evolved Bacteria","Evolved Ciliates",1,8,-0.616186139423817
"54",0.378,0.055,"Evolved Bacteria","Evolved Ciliates",1,8,-1.92756101038712
"55",0.122,0.05,"Evolved Bacteria","Evolved Ciliates",1,8,-0.89199803930511
"56",0.175,0.047,"Evolved Bacteria","Evolved Ciliates",1,8,-1.31463837221346
"57",0.253,0.048,"Evolved Bacteria","Evolved Ciliates",1,8,-1.66218847781963
"58",0.335,0.044,"Evolved Bacteria","Evolved Ciliates",1,8,-2.02994089790681
"59",0.106,0.045,"Evolved Bacteria","Evolved Ciliates",1,8,-0.856776604341747
"60",0.236,0.222,"Evolved Bacteria","Evolved Ciliates",1,8,-0.0611544231533306
"61",0.278,0.044,"Evolved Bacteria","Evolved Ciliates",1,8,-1.84343147977238
"62",0.127,0.055,"Evolved Bacteria","Evolved Ciliates",1,8,-0.83685390122612
"63",0.195,0.085,"Evolved Bacteria","Evolved Ciliates",1,8,-0.83034830207343
"64",0.133,0.049,"Evolved Bacteria","Evolved Ciliates",1,8,-0.998528830111127
"65",0.389,0.064,"Evolved Bacteria","Evolved Ciliates",1,8,-1.80469626025877
"66",0.214,0.092,"Evolved Bacteria","Evolved Ciliates",1,8,-0.844187437972811
"67",0.215,0.047,"Evolved Bacteria","Evolved Ciliates",1,8,-1.5204904264176
"68",0.066,0.043,"Evolved Bacteria","Evolved Ciliates",1,8,-0.428454626332863
"69",0.452,0.05,"Evolved Bacteria","Evolved Ciliates",1,8,-2.20165917440409
"70",0.246,0.399,"Evolved Bacteria","Evolved Ciliates",1,8,0.483629880957501
"71",0.343,0.042,"Evolved Bacteria","Evolved Ciliates",1,8,-2.10006082888257
"72",0.07,0.076,"Evolved Bacteria","Evolved Ciliates",1,8,0.082238098236972
"73",0.205,0.078,"Evolved Bacteria","Evolved Ciliates",3,8,-0.966301152448816
"74",0.427,0.083,"Evolved Bacteria","Evolved Ciliates",3,8,-1.63794340543203
"75",0.368,0.043,"Evolved Bacteria","Evolved Ciliates",3,8,-2.14688282247537
"76",0.319,0.238,"Evolved Bacteria","Evolved Ciliates",3,8,-0.29292042911337
"77",0.354,0.053,"Evolved Bacteria","Evolved Ciliates",3,8,-1.89900499958165
"78",0.27,0.068,"Evolved Bacteria","Evolved Ciliates",3,8,-1.37891425382227
"79",0.193,0.068,"Evolved Bacteria","Evolved Ciliates",3,8,-1.04318248372878
"80",0.244,0.295,"Evolved Bacteria","Evolved Ciliates",3,8,0.189807131046618
"81",0.389,0.058,"Evolved Bacteria","Evolved Ciliates",3,8,-1.90313633307203
"82",0.056,0.357,"Evolved Bacteria","Evolved Ciliates",3,8,1.85238409104449
"83",0.236,0.279,"Evolved Bacteria","Evolved Ciliates",3,8,0.167379976795756
"84",0.039,0.192,"Evolved Bacteria","Evolved Ciliates",3,8,1.59393372589814
"85",0.512,0.117,"Evolved Bacteria","Evolved Ciliates",3,8,-1.47615069024175
"86",0.306,0.095,"Evolved Bacteria","Evolved Ciliates",3,8,-1.16970821035184
"87",0.19,0.174,"Evolved Bacteria","Evolved Ciliates",3,8,-0.0879687729459572
"88",0.196,0.305,"Evolved Bacteria","Evolved Ciliates",3,8,0.442197117376894
"89",0.202,0.264,"Evolved Bacteria","Evolved Ciliates",3,8,0.267681405745111
"90",0.112,0.043,"Evolved Bacteria","Evolved Ciliates",3,8,-0.957298755601532
"91",0.199,0.042,"Evolved Bacteria","Evolved Ciliates",3,8,-1.55563520644112
"92",0.194,0.204,"Evolved Bacteria","Evolved Ciliates",3,8,0.0502618347808881
"93",0.189,0.041,"Evolved Bacteria","Evolved Ciliates",3,8,-1.52817494835533
"94",0.194,0.218,"Evolved Bacteria","Evolved Ciliates",3,8,0.116636903725761
"95",0.195,0.197,"Evolved Bacteria","Evolved Ciliates",3,8,0.0102041701742417
"96",0.396,0.05,"Evolved Bacteria","Evolved Ciliates",3,8,-2.06939120582633
"97",0.549,0.453,"Evolved Bacteria","Evolved Ciliates",5,8,-0.192206316026497
"98",0.222,0.041,"Evolved Bacteria","Evolved Ciliates",5,8,-1.68910531516797
"99",0.297,0.327,"Evolved Bacteria","Evolved Ciliates",5,8,0.0962280320945538
"100",0.048,0.372,"Evolved Bacteria","Evolved Ciliates",5,8,2.04769284336526
"101",0.361,0.038,"Evolved Bacteria","Evolved Ciliates",5,8,-2.2512917986065
"102",0.172,0.117,"Evolved Bacteria","Evolved Ciliates",5,8,-0.385320542015697
"103",0.509,0.046,"Evolved Bacteria","Evolved Ciliates",5,8,-2.40380662006143
"104",0.232,0.043,"Evolved Bacteria","Evolved Ciliates",5,8,-1.68553725597275
"105",0.163,0.044,"Evolved Bacteria","Evolved Ciliates",5,8,-1.3095605668885
"106",0.468,0.045,"Evolved Bacteria","Evolved Ciliates",5,8,-2.34180580614733
"107",0.043,0.053,"Evolved Bacteria","Evolved Ciliates",5,8,0.209091797858559
"108",0.429,0.574,"Evolved Bacteria","Evolved Ciliates",5,8,0.291172477391549
"109",0.161,0.117,"Evolved Bacteria","Evolved Ciliates",5,8,-0.319230430186707
"110",0.332,0.406,"Evolved Bacteria","Evolved Ciliates",5,8,0.201218190685244
"111",0.223,0.046,"Evolved Bacteria","Evolved Ciliates",5,8,-1.57853037497102
"112",0.395,0.052,"Evolved Bacteria","Evolved Ciliates",5,8,-2.02764204631969
"113",0.229,0.056,"Evolved Bacteria","Evolved Ciliates",5,8,-1.40837031281909
"114",0.07,0.055,"Evolved Bacteria","Evolved Ciliates",5,8,-0.241162056816888
"115",0.224,0.041,"Evolved Bacteria","Evolved Ciliates",5,8,-1.69807398515073
"116",0.478,0.048,"Evolved Bacteria","Evolved Ciliates",5,8,-2.29840972158356
"117",0.236,0.043,"Evolved Bacteria","Evolved Ciliates",5,8,-1.70263168933205
"118",0.199,0.041,"Evolved Bacteria","Evolved Ciliates",5,8,-1.57973275802018
"119",0.261,0.043,"Evolved Bacteria","Evolved Ciliates",5,8,-1.80332029162913
"120",0.215,0.041,"Evolved Bacteria","Evolved Ciliates",5,8,-1.65706596142335
"121",0.599,0.508,"Evolved Bacteria","Evolved Ciliates",1,28,-0.164780150536967
"122",0.602,0.393,"Evolved Bacteria","Evolved Ciliates",1,28,-0.42644783343956
"123",0.917,0.057,"Evolved Bacteria","Evolved Ciliates",1,28,-2.77805620442191
"124",0.405,0.069,"Evolved Bacteria","Evolved Ciliates",1,28,-1.76978056250928
"125",0.432,0.042,"Evolved Bacteria","Evolved Ciliates",1,28,-2.33075596996074
"126",0.474,0.047,"Evolved Bacteria","Evolved Ciliates",1,28,-2.31105971998502
"127",0.365,0.044,"Evolved Bacteria","Evolved Ciliates",1,28,-2.11570771966423
"128",0.452,0.042,"Evolved Bacteria","Evolved Ciliates",1,28,-2.37601256154886
"129",0.431,0.046,"Evolved Bacteria","Evolved Ciliates",1,28,-2.23746669361465
"130",0.077,0.047,"Evolved Bacteria","Evolved Ciliates",1,28,-0.493657820143625
"131",0.381,0.048,"Evolved Bacteria","Evolved Ciliates",1,28,-2.07159836421881
"132",0.451,0.048,"Evolved Bacteria","Evolved Ciliates",1,28,-2.24026632859479
"133",0.458,0.043,"Evolved Bacteria","Evolved Ciliates",1,28,-2.36566906842062
"134",0.376,0.046,"Evolved Bacteria","Evolved Ciliates",1,28,-2.1009477469008
"135",0.321,0.038,"Evolved Bacteria","Evolved Ciliates",1,28,-2.13385496340363
"136",0.354,0.036,"Evolved Bacteria","Evolved Ciliates",1,28,-2.28577797467766
"137",0.446,0.041,"Evolved Bacteria","Evolved Ciliates",1,28,-2.38674688531576
"138",0.551,0.045,"Evolved Bacteria","Evolved Ciliates",1,28,-2.50507231938259
"139",0.325,0.051,"Evolved Bacteria","Evolved Ciliates",1,28,-1.85199954960541
"140",0.488,0.042,"Evolved Bacteria","Evolved Ciliates",1,28,-2.45264578756978
"141",0.425,0.052,"Evolved Bacteria","Evolved Ciliates",1,28,-2.10084545034299
"142",0.558,0.042,"Evolved Bacteria","Evolved Ciliates",1,28,-2.58668934409794
"143",0.448,0.043,"Evolved Bacteria","Evolved Ciliates",1,28,-2.34359311672142
"144",0.47,0.041,"Evolved Bacteria","Evolved Ciliates",1,28,-2.4391606279998
"145",0.134,0.097,"Evolved Bacteria","Evolved Ciliates",3,28,-0.323128821447529
"146",0.121,0.073,"Evolved Bacteria","Evolved Ciliates",3,28,-0.50533110444835
"147",0.478,0.04,"Evolved Bacteria","Evolved Ciliates",3,28,-2.48073127837752
"148",0.346,0.339,"Evolved Bacteria","Evolved Ciliates",3,28,-0.0204386676772738
"149",0.459,0.047,"Evolved Bacteria","Evolved Ciliates",3,28,-2.27890260835049
"150",0.413,0.051,"Evolved Bacteria","Evolved Ciliates",3,28,-2.09162196023671
"151",0.41,0.059,"Evolved Bacteria","Evolved Ciliates",3,28,-1.93861971579263
"152",0.069,0.036,"Evolved Bacteria","Evolved Ciliates",3,28,-0.65058756614115
"153",0.197,0.045,"Evolved Bacteria","Evolved Ciliates",3,28,-1.47654123896767
"154",0.201,0.043,"Evolved Bacteria","Evolved Ciliates",3,28,-1.54210479236551
"155",0.227,0.043,"Evolved Bacteria","Evolved Ciliates",3,28,-1.66374990178784
"156",0.143,0.04,"Evolved Bacteria","Evolved Ciliates",3,28,-1.27396517614597
"157",0.203,0.153,"Evolved Bacteria","Evolved Ciliates",3,28,-0.282768057649352
"158",0.365,0.106,"Evolved Bacteria","Evolved Ciliates",3,28,-1.23645825947042
"159",0.573,0.042,"Evolved Bacteria","Evolved Ciliates",3,28,-2.61321609843137
"160",0.655,0.047,"Evolved Bacteria","Evolved Ciliates",3,28,-2.63448763392519
"161",0.341,0.062,"Evolved Bacteria","Evolved Ciliates",3,28,-1.70474809223843
"162",0.079,0.042,"Evolved Bacteria","Evolved Ciliates",3,28,-0.631778234183653
"163",0.188,0.037,"Evolved Bacteria","Evolved Ciliates",3,28,-1.62552405018572
"164",0.053,0.039,"Evolved Bacteria","Evolved Ciliates",3,28,-0.306730267422475
"165",0.081,0.043,"Evolved Bacteria","Evolved Ciliates",3,28,-0.633249038978877
"166",0.146,0.044,"Evolved Bacteria","Evolved Ciliates",3,28,-1.19941698779008
"167",0.356,0.043,"Evolved Bacteria","Evolved Ciliates",3,28,-2.11373061515847
"168",0.339,0.047,"Evolved Bacteria","Evolved Ciliates",3,28,-1.97585250567039
"169",0.488,0.061,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.07944154167984
"170",0.35,0.045,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.05127066471314
"171",0.313,0.041,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.03263112383585
"172",0.353,0.039,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.20290641080365
"173",0.262,0.045,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.76168201399078
"174",0.23,0.056,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.41272761818805
"175",0.274,0.036,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.02960916793196
"176",0.237,0.042,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.73039052285176
"177",0.282,0.041,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.92833500423381
"178",0.296,0.043,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.9291593386305
"179",0.57,0.043,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.58443624513503
"180",0.039,0.056,"Ancestral Bacteria","Evolved Ciliates",1,60,0.361790044605503
"181",0.46,0.046,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.30258509299405
"182",0.314,0.045,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.94273049613793
"183",0.544,0.526,"Ancestral Bacteria","Evolved Ciliates",1,60,-0.0336480341182328
"184",0.368,0.042,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.17041331988556
"185",0.133,0.047,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.0402015265117
"186",0.347,0.039,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.18576313381721
"187",0.281,0.043,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.87715455364018
"188",0.645,0.042,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.7315806985124
"189",0.294,0.038,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.0459936076123
"190",0.313,0.043,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.98500307484659
"191",0.307,0.037,"Ancestral Bacteria","Evolved Ciliates",1,60,-2.11592983494297
"192",0.375,0.055,"Ancestral Bacteria","Evolved Ciliates",1,60,-1.91959284073794
"193",0.035,0.05,"Ancestral Bacteria","Evolved Ciliates",3,60,0.356674943938732
"194",0.061,0.046,"Ancestral Bacteria","Evolved Ciliates",3,60,-0.282232467684216
"195",0.493,0.044,"Ancestral Bacteria","Evolved Ciliates",3,60,-2.41631954012443
"196",0.106,0.37,"Ancestral Bacteria","Evolved Ciliates",3,60,1.2500639115262
"197",0.043,0.047,"Ancestral Bacteria","Evolved Ciliates",3,60,0.0889474860164963
"198",0.32,0.054,"Ancestral Bacteria","Evolved Ciliates",3,60,-1.7793369492295
"199",0.482,0.042,"Ancestral Bacteria","Evolved Ciliates",3,60,-2.44027449576723
"200",0.4,0.044,"Ancestral Bacteria","Evolved Ciliates",3,60,-2.20727491318972
"201",0.037,0.085,"Ancestral Bacteria","Evolved Ciliates",3,60,0.831733343846092
"202",0.036,0.037,"Ancestral Bacteria","Evolved Ciliates",3,60,0.0273989741881146
"203",0.037,0.472,"Ancestral Bacteria","Evolved Ciliates",3,60,2.54606107294133
"204",0.036,0.257,"Ancestral Bacteria","Evolved Ciliates",3,60,1.96555714643911
"205",0.037,0.055,"Ancestral Bacteria","Evolved Ciliates",3,60,0.396415272588247
"206",0.271,0.045,"Ancestral Bacteria","Evolved Ciliates",3,60,-1.79545633110938
"207",0.338,0.046,"Ancestral Bacteria","Evolved Ciliates",3,60,-1.99440449899392
"208",0.479,0.55,"Ancestral Bacteria","Evolved Ciliates",3,60,0.138217680815601
"209",0.278,0.049,"Ancestral Bacteria","Evolved Ciliates",3,60,-1.73580081558001
"210",0.136,0.051,"Ancestral Bacteria","Evolved Ciliates",3,60,-0.980829253011726
"211",0.089,0.054,"Ancestral Bacteria","Evolved Ciliates",3,60,-0.499652323167865
"212",0.149,0.304,"Ancestral Bacteria","Evolved Ciliates",3,60,0.713081395460763
"213",0.188,0.051,"Ancestral Bacteria","Evolved Ciliates",3,60,-1.30461633010562
"214",0.037,0.047,"Ancestral Bacteria","Evolved Ciliates",3,60,0.239229689065834
"215",0.038,0.048,"Ancestral Bacteria","Evolved Ciliates",3,60,0.233614851181505
"216",0.257,0.249,"Ancestral Bacteria","Evolved Ciliates",3,60,-0.0316231884305122
"217",0.735,0.045,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.79320800944252
"218",0.365,0.043,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.13869723788893
"219",0.776,0.042,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.91648290189985
"220",0.408,0.045,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.20460468463384
"221",0.272,0.048,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.73460105538811
"222",0.209,0.051,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.41050861924049
"223",0.201,0.048,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.43210389715118
"224",0.208,0.044,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.55334844578306
"225",0.385,0.041,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.23967126758348
"226",0.356,0.042,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.13726111256866
"227",0.683,0.041,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.81292279286648
"228",0.237,0.05,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.55603713570698
"229",0.851,0.042,"Ancestral Bacteria","Evolved Ciliates",5,60,-3.00874251029001
"230",0.431,0.047,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.21596048839369
"231",0.611,0.044,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.63090732525333
"232",0.729,0.044,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.8074840980904
"233",0.268,0.04,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.90210752639692
"234",0.397,0.042,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.24626666240382
"235",0.145,0.047,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.12658614071052
"236",0.757,0.043,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.86816313774389
"237",0.507,0.043,"Ancestral Bacteria","Evolved Ciliates",5,60,-2.46731088789762
"238",0.254,0.042,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.79966464873517
"239",0.274,0.044,"Ancestral Bacteria","Evolved Ciliates",5,60,-1.82893847246981
"240",0.038,0.045,"Ancestral Bacteria","Evolved Ciliates",5,60,0.169076330043934
"241",0.132,0.08,"Evolved Bacteria","Evolved Ciliates",1,60,-0.500775287912489
"242",0.088,0.051,"Evolved Bacteria","Evolved Ciliates",1,60,-0.545511181753881
"243",0.708,0.049,"Evolved Bacteria","Evolved Ciliates",1,60,-2.67062379558309
"244",0.261,0.055,"Evolved Bacteria","Evolved Ciliates",1,60,-1.55718722209022
"245",0.725,0.051,"Evolved Bacteria","Evolved Ciliates",1,60,-2.65434602213035
"246",0.37,0.057,"Evolved Bacteria","Evolved Ciliates",1,60,-1.87045173780372
"247",0.38,0.057,"Evolved Bacteria","Evolved Ciliates",1,60,-1.89711998488588
"248",0.215,0.079,"Evolved Bacteria","Evolved Ciliates",1,60,-1.00119017566064
"249",0.346,0.047,"Evolved Bacteria","Evolved Ciliates",1,60,-1.99629117334767
"250",0.247,0.082,"Evolved Bacteria","Evolved Ciliates",1,60,-1.10266908936372
"251",0.168,0.044,"Evolved Bacteria","Evolved Ciliates",1,60,-1.339774345485
"252",0.037,0.043,"Evolved Bacteria","Evolved Ciliates",1,60,0.150282203049338
"253",0.384,0.121,"Evolved Bacteria","Evolved Ciliates",1,60,-1.15485200699099
"254",0.353,0.05,"Evolved Bacteria","Evolved Ciliates",1,60,-1.95444505150515
"255",0.254,0.24,"Evolved Bacteria","Evolved Ciliates",1,60,-0.0566953436765453
"256",0.442,0.057,"Evolved Bacteria","Evolved Ciliates",1,60,-2.04825861424315
"257",0.343,0.043,"Evolved Bacteria","Evolved Ciliates",1,60,-2.07653033147238
"258",0.448,0.058,"Evolved Bacteria","Evolved Ciliates",1,60,-2.04435022186857
"259",0.137,0.044,"Evolved Bacteria","Evolved Ciliates",1,60,-1.13579129190986
"260",0.528,0.062,"Evolved Bacteria","Evolved Ciliates",1,60,-2.14196189866117
"261",0.374,0.049,"Evolved Bacteria","Evolved Ciliates",1,60,-2.03243549930391
"262",0.181,0.044,"Evolved Bacteria","Evolved Ciliates",1,60,-1.41430739734756
"263",0.174,0.219,"Evolved Bacteria","Evolved Ciliates",1,60,0.230016430601972
"264",0.037,0.037,"Evolved Bacteria","Evolved Ciliates",1,60,0
"265",0.413,0.25,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.501986675098786
"266",0.25,0.219,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.132389188045746
"267",0.523,0.102,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.63460865078065
"268",0.363,0.287,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.23492061850523
"269",0.505,0.061,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.11368456510205
"270",0.457,0.057,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.08163212305965
"271",0.236,0.215,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.0931937768979473
"272",0.543,0.064,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.13822623657426
"273",0.535,0.061,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.1713928827227
"274",0.239,0.074,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.17239845872734
"275",0.552,0.048,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.4423470353692
"276",0.281,0.052,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.68711095075232
"277",0.582,0.092,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.8446818706824
"278",0.226,0.056,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.39518330853714
"279",0.215,0.19,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.123613955967177
"280",0.339,0.059,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.74846266347473
"281",0.224,0.049,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.51982575374441
"282",0.379,0.049,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.0457159069718
"283",0.477,0.187,"Ancestral Bacteria","Ancestral Ciliates",1,8,-0.936407874033755
"284",0.238,0.052,"Ancestral Bacteria","Ancestral Ciliates",1,8,-1.52102695509005
"285",0.448,0.054,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.11580918585071
"286",0.39,0.048,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.0949457282158
"287",0.345,0.046,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.01490302054226
"288",0.532,0.054,"Ancestral Bacteria","Ancestral Ciliates",1,8,-2.28765944277737
"289",0.264,0.212,"Ancestral Bacteria","Ancestral Ciliates",3,8,-0.219362828474304
"290",0.227,0.081,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.03050086280896
"291",0.318,0.051,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.83022575005585
"292",0.361,0.043,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.12767784263932
"293",0.457,0.053,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.15439147734208
"294",0.36,0.048,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.01490302054226
"295",0.494,0.047,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.35238791547786
"296",0.472,0.048,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.28577797467766
"297",0.342,0.049,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.94299043895198
"298",0.35,0.05,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.94591014905531
"299",0.467,0.047,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.29618165595884
"300",0.113,0.188,"Ancestral Bacteria","Ancestral Ciliates",3,8,0.509054144117609
"301",0.52,0.201,"Ancestral Bacteria","Ancestral Ciliates",3,8,-0.950523903516397
"302",0.408,0.045,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.20460468463384
"303",0.35,0.048,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.98673214357557
"304",0.33,0.106,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.13565356034846
"305",0.368,0.049,"Ancestral Bacteria","Ancestral Ciliates",3,8,-2.0162626400583
"306",0.295,0.05,"Ancestral Bacteria","Ancestral Ciliates",3,8,-1.77495235091167
